Title,Release Year,Duration,Director,Actor 1,Actor 2,Genre
The Trouble with Harry,1955,99 min.,Alfred Hitchcock,Mildred Natwick,Shirley MacLaine,Black Comedy
Gandhi,1982,188 min.,Richard Attenborough,Edward Fox,John Gielgud,Based-on-a-True-Story
Moana,2016,103 min.,"Ron Clements, John Musker, Don Hall, Chris Williams",Auli'i Cravalho,Dwayne Johnson,Adventure Comedy
An Autumn Afternoon,1962,112 min.,Yasujirô Ozu,Chishu Ryu,Shima Iwashita,Drama
The Life Aquatic with Steve Zissou,2004,119 min.,Wes Anderson,Bill Murray,Owen Wilson,Adventure Comedy
Bullets Over Broadway,1994,98 min.,Woody Allen,Chazz Palminteri,Jennifer Tilly,Comedy
Women on the Verge of a Nervous Breakdown,1988,90 min.,Pedro Almodóvar,Carmen Maura,Antonio Banderas,Comedy of Errors
The Human Condition III: A Soldier's Prayer,1961,190 min.,Masaki Kobayashi,Tatsuya Nakadai,Michiyo Aratama,Anti-War Film
The Ice Storm,1997,112 min.,Ang Lee,Kevin Kline,Joan Allen,Based-on-20th-Century-Literature
Lonesome Dove,1989,384 min.,Simon Wincer,Diane Lane,Tommy Lee Jones,Adventure
You Only Live Twice,1967,117 min.,Lewis Gilbert,Sean Connery,Akiko Wakabayashi,Action Thriller
Hang 'Em High,1968,114 min.,Ted Post,Clint Eastwood,Inger Stevens,Revisionist Western
Bananas,1971,82 min.,Woody Allen,Woody Allen,Louise Lasser,Absurd Comedy
Dr. Jekyll and Mr. Hyde,1931,98 min.,Rouben Mamoulian,Fredric March,Miriam Hopkins,Based-on-19th-Century-Literature
"Good Morning, Vietnam",1987,121 min.,Barry Levinson,Robin Williams,Tung Thanh Tran,Comedy Drama
Gimme Shelter,1970,91 min.,"Albert Maysles, David Maysles, Charlotte Zwerin",The Rolling Stones,Jefferson Airplane,Concert Film
Senna,2010,104 min.,Asif Kapadia,Ayrton Senna,Alain Prost,Biography
Fantastic Planet,1973,72 min.,René Laloux,Sylvie Lenoir,Jean Valmont,Animation
Black Dynamite,2009,90 min.,Scott Sanders,Arsenio Hall,Michael Jai White,Action
Wreck-It Ralph,2012,90 min.,Rich Moore,John C. Reilly,Jack McBrayer,Adventure
I Know Where I'm Going!,1945,91 min.,"Michael Powell, Emeric Pressburger",Wendy Hiller,Roger Livesey,Drama
John Wick: Chapter 2,2017,122 min.,Chad Stahelski,Keanu Reeves,Common,Action Thriller
A Simple Plan,1998,121 min.,Sam Raimi,Brent Briscoe,Bridget Fonda,Crime Drama
Top Secret!,1984,90 min.,Jim Abrahams,Val Kilmer,Lucy Gutteridge,Absurd Comedy
Night on Earth,1991,129 min.,Jim Jarmusch,Winona Ryder,Roberto Benigni,Anthology Film
Guardians of the Galaxy Vol. 3,2023,150 min.,James Gunn,Chris Pratt,Zoe Saldana,Action
Funny Games,1997,108 min.,Michael Haneke,Susanne Lothar,Ulrich Mühe,Crime Thriller
Drunken Master,1978,111 min.,Woo-ping Yuen,Dean Shek,Yuen Shun-Yi,Action Comedy
The Place Beyond the Pines,2012,140 min.,Derek Cianfrance,Bradley Cooper,Ryan Gosling,Crime Drama
The Incredible Shrinking Man,1957,81 min.,Jack Arnold,Grant Williams,Randy Stuart,Based-on-20th-Century-Literature
Doulos: The Finger Man,1962,108 min.,Jean-Pierre Melville,Jean-Paul Belmondo,Serge Reggiani,Crime Thriller
It's Such a Beautiful Day,2012,62 min.,Don Hertzfeldt,Don Hertzfeldt,,Animation
Green Room,2015,94 min.,Jeremy Saulnier,Anton Yelchin,Imogen Poots,Crime Thriller
Pee-Wee's Big Adventure,1985,90 min.,Tim Burton,Paul Reubens,Elizabeth Daily,Adventure
Sunshine,2007,107 min.,Danny Boyle,Cillian Murphy,Chris Evans,Adventure
The Unknown,1927,63 min.,Tod Browning,Lon Chaney,Joan Crawford,Drama
Carnival of Souls,1962,84 min.,Herk Harvey,Candace Hilligoss,Frances Feist,Gothic Film
Crumb,1994,119 min.,Terry Zwigoff,Robert Crumb,Aline Kominsky,Biography
Time After Time,1979,112 min.,Nicholas Meyer,Malcolm McDowell,David Warner,Adventure
Abbott and Costello Meet Frankenstein,1948,83 min.,Charles Barton,Bud Abbott,Lou Costello,Comedy
Gold Diggers of 1933,1933,96 min.,Mervyn LeRoy,Joan Blondell,Ginger Rogers,Comedy
Lost Highway,1997,135 min.,David Lynch,Bill Pullman,Patricia Arquette,Mindbender
The Monster Squad,1987,82 min.,Fred Dekker,Andre Gower,Robby Kiger,Comedy
Big Night,1996,107 min.,"Campbell Scott, Stanley Tucci",Minnie Driver,Campbell Scott,Comedy Drama
A Quiet Place,2018,95 min.,John Krasinski,Emily Blunt,John Krasinski,Alien Invasion Films
The Fog of War,2003,107 min.,Errol Morris,Robert S. McNamara,,Biography
House on Haunted Hill,1959,75 min.,William Castle,Vincent Price,Carol Ohmart,Drama
Doubt,2008,104 min.,John Patrick Shanley,Meryl Streep,Philip Seymour Hoffman,Based-on-Theatre
The Man Who Knew Too Much,1934,75 min.,Alfred Hitchcock,Leslie Banks,Edna Best,Psychological Thriller
Imitation of Life,1959,125 min.,Douglas Sirk,Lana Turner,John Gavin,Drama
Vanishing Point,1971,98 min.,Richard C. Sarafian,Barry Newman,Cleavon Little,Action Thriller
Hellboy,2004,122 min.,Guillermo del Toro,Ron Perlman,John Hurt,Action
Scrooged,1988,101 min.,Richard Donner,Bill Murray,Bobcat Goldthwait,Based-on-19th-Century-Literature
"Good Night, and Good Luck.",2005,93 min.,George Clooney,Jeff Daniels,David Strathairn,Based-on-a-True-Story
Brooklyn,2015,111 min.,John Crowley,Saoirse Ronan,Domhnall Gleeson,Drama
In the Line of Fire,1993,128 min.,Wolfgang Petersen,Clint Eastwood,John Malkovich,Action
Breaker Morant,1980,107 min.,Bruce Beresford,Bryan Brown,Jack Thompson,Anti-War Film
Tremors,1990,96 min.,Ron Underwood,Kevin Bacon,Reba McEntire,Comedy
Under the Skin,2013,108 min.,Jonathan Glazer,Scarlett Johansson,Antonia Campbell-Hughes,Alien Invasion Films
Blade,1998,120 min.,Stephen Norrington,Wesley Snipes,Kris Kristofferson,Action
We Need to Talk About Kevin,2011,110 min.,Lynne Ramsay,John C. Reilly,Tilda Swinton,Based-on-21st-Century-Literature
Rosencrantz and Guildenstern Are Dead,1990,117 min.,Tom Stoppard,Gary Oldman,Tim Roth,Based-on-Shakespeare
Aparajito,1956,110 min.,Satyajit Ray,Kanu Bannerjee,Karuna Bannerjee,Coming-of-Age
Splendor in the Grass,1961,124 min.,Elia Kazan,Natalie Wood,Warren Beatty,Americana
The Holdovers,2023,133 min.,Alexander Payne,Paul Giamatti,Dominic Sessa,Black Comedy
Sergeant York,1941,134 min.,Howard Hawks,Joan Leslie,Walter Brennan,Based-on-a-True-Story
Ride the High Country,1962,94 min.,Sam Peckinpah,Randolph Scott,Joel McCrea,Adventure
The Magician,1958,100 min.,Ingmar Bergman,Max von Sydow,Ingrid Thulin,Drama
Rush,2013,123 min.,Ron Howard,Chris Hemsworth,Daniel Brühl,Based-on-a-True-Story
Election,1999,103 min.,Alexander Payne,Matthew Broderick,Reese Witherspoon,Americana
If....,1968,111 min.,Lindsay Anderson,Malcolm McDowell,Christine Noonan,Coming-of-Age
My Life as a Dog,1985,101 min.,Lasse Hallström,Anton Glanzelius,Tomas von Bromssen,Childhood Drama
Dead of Night,1945,103 min.,"Alberto Cavalcanti, Charles Crichton, Basil Dearden, Robert Hamer",Mervyn Johns,Roland Culver,Anthology Film
Pineapple Express,2008,111 min.,David Gordon Green,Seth Rogen,James Franco,Action
Summer with Monika,1953,96 min.,Ingmar Bergman,Harriet Andersson,Lars Ekborg,Den svenska synden
Mrs. Doubtfire,1993,125 min.,Chris Columbus,Robin Williams,Sally Field,Comedy Drama
Creature from the Black Lagoon,1954,79 min.,Jack Arnold,Richard Carlson,Julie Adams,Adventure
And Now for Something Completely Different,1971,88 min.,Ian MacNaughton,Graham Chapman,John Cleese,Absurd Comedy
Early Summer,1951,124 min.,Yasujirô Ozu,Setsuko Hara,Chishu Ryu,Drama
The Darjeeling Limited,2007,91 min.,Wes Anderson,Owen Wilson,Adrien Brody,Comedy
The Squid and the Whale,2005,81 min.,Noah Baumbach,Jeff Daniels,Laura Linney,Coming-of-Age
Twelve Angry Men,1954,60 min.,Franklin J. Schaffner,Robert Cummings,Franchot Tone,Courtroom Drama
The Wind Rises,2013,126 min.,Hayao Miyazaki,Hideaki Anno,Mirai Shida,Animation
Hotel Rwanda,2004,121 min.,Terry George,Nick Nolte,Mothusi Magano,Docudrama
Shallow Grave,1994,93 min.,Danny Boyle,Kerry Fox,Ewan McGregor,Crime Thriller
Opening Night,1977,144 min.,John Cassavetes,Gena Rowlands,John Cassavetes,Drama
Miracle on 34th Street,1947,96 min.,George Seaton,Maureen O'Hara,John Payne,Comedy
One Week,1920,19 min.,"Edward F. Cline, Buster Keaton",Buster Keaton,Sybil Seely,Comedy
10 Cloverfield Lane,2016,105 min.,Dan Trachtenberg,Mary Elizabeth Winstead,John Goodman,Disaster Film
Fort Apache,1948,125 min.,John Ford,John Wayne,Henry Fonda,Action
Captain Phillips,2013,134 min.,Paul Greengrass,Tom Hanks,Catherine Keener,Adventure Drama
Tangled,2010,100 min.,"Nathan Greno, Byron Howard",Mandy Moore,Zachary Levi,Animated Musical
Grey Gardens,1975,100 min.,"Ellen Hovde, Albert Maysles, David Maysles, Muffie Meyer",Edith Bouvier Beale,Edith 'Little Edie' Bouvier Beale,Biography
From Beyond,1986,86 min.,Stuart Gordon,Jeffrey Combs,Barbara Crampton,Based-on-20th-Century-Literature
Jumanji,1995,104 min.,Joe Johnston,Robin Williams,Bonnie Hunt,Adventure
42nd Street,1933,89 min.,Lloyd Bacon,Bebe Daniels,George Brent,Comedy
The Color Purple,1985,154 min.,Steven Spielberg,Danny Glover,Whoopi Goldberg,Based-on-20th-Century-Literature
La Femme Nikita,1990,115 min.,Luc Besson,Marc Duret,Alain Lathière,Action Thriller
The Frighteners,1996,110 min.,Peter Jackson,Michael J. Fox,Trini Alvarado,Comedy
Jason and the Argonauts,1963,104 min.,Don Chaffey,Todd Armstrong,Nancy Kovack,Action
The Mission,1986,126 min.,Roland Joffé,Robert De Niro,Jeremy Irons,Drama
Ant-Man,2015,117 min.,Peyton Reed,Paul Rudd,Michael Douglas,Action
The Death of Stalin,2017,107 min.,Armando Iannucci,Steve Buscemi,Jeffrey Tambor,Based-on-a-True-Story
Odd Man Out,1947,116 min.,Carol Reed,James Mason,Robert Newton,Chase Movie
Blue Is the Warmest Color,2013,179 min.,Abdellatif Kechiche,Adèle Exarchopoulos,Léa Seydoux,Based-on-Comics
Hacksaw Ridge,2016,131 min.,Mel Gibson,Andrew Garfield,Vince Vaughn,Anti-War Film
The Driver,1978,91 min.,Walter Hill,Ryan O'Neal,Bruce Dern,Action Thriller
Man Bites Dog,1992,95 min.,"Rémy Belvaux, André Bonzel, Benoît Poelvoorde",Benoît Poelvoorde,Rémy Belvaux,Black Comedy
25th Hour,2002,135 min.,Spike Lee,Edward Norton,Philip Seymour Hoffman,Crime Drama
Reds,1981,194 min.,Warren Beatty,Warren Beatty,Diane Keaton,Based-on-a-True-Story
The Red Balloon,1956,34 min.,Albert Lamorisse,Pascal Lamorisse,Georges Sellier,Adventure
Zombie,1979,91 min.,Lucio Fulci,Richard Johnson,Tisa Farrow,Exploitation Film
Grand Hotel,1932,112 min.,Edmund Goulding,Lionel Barrymore,Greta Garbo,Drama
Cape Fear,1991,128 min.,Martin Scorsese,Robert De Niro,Nick Nolte,Based-on-20th-Century-Literature
Zoolander,2001,89 min.,Ben Stiller,Ben Stiller,Will Ferrell,Comedy of Errors
Martha Marcy May Marlene,2011,120 min.,Sean Durkin,Elizabeth Olsen,Sarah Paulson,Drama
Blood and Black Lace,1964,84 min.,Mario Bava,Cameron Mitchell,Eva Bartok,Foreign Language Film
Libeled Lady,1936,98 min.,Jack Conway,Jean Harlow,William Powell,Comedy
On the Town,1949,98 min.,"Stanley Donen, Gene Kelly",Gene Kelly,Frank Sinatra,Based-on-Theatre
The Lobster,2015,118 min.,Yorgos Lanthimos,Léa Seydoux,Colin Farrell,Absurd Comedy
Face/Off,1997,138 min.,John Woo,John Travolta,Nicolas Cage,Action Thriller
Baraka,1992,96 min.,Ron Fricke,,,Avant-garde / Experimental
Pink Floyd The Wall,1982,95 min.,Alan Parker,Bob Geldof,Christine Hargreaves,Drama
...and justice for all.,1979,119 min.,Norman Jewison,Al Pacino,Jack Warden,Black Comedy
Don't Look Back,1967,96 min.,D.A. Pennebaker,Donovan,Joan Baez,Biography
The Swimmer,1968,95 min.,Frank Perry,Burt Lancaster,Richard McMurray,Drama
Timecrimes,2007,92 min.,Nacho Vigalondo,Karra Elejalde,Candela Fernandez,Crime Thriller
Ford v Ferrari,2019,152 min.,James Mangold,Matt Damon,Christian Bale,Action
The Gospel According to St. Matthew,1964,137 min.,Pier Paolo Pasolini,Enrique Irazoqui,Margherita Caruso,Drama
The Woman in the Window,1944,107 min.,Fritz Lang,Edward G. Robinson,Joan Bennett,Crime Drama
Sleepy Hollow,1999,105 min.,Tim Burton,Johnny Depp,Christina Ricci,Based-on-19th-Century-Literature
The Big Chill,1983,105 min.,Lawrence Kasdan,Tom Berenger,Glenn Close,Comedy Drama
The Fog,1980,89 min.,John Carpenter,Jamie Lee Curtis,John Houseman,Ghost Film
The Women,1939,133 min.,George Cukor,Norma Shearer,Rosalind Russell,Based-on-Theatre
Sense and Sensibility,1995,136 min.,Ang Lee,Hugh Grant,Alan Rickman,Based-on-19th-Century-Literature
The Running Man,1987,101 min.,Paul Michael Glaser,Arnold Schwarzenegger,Maria Conchita Alonso,Action Thriller
Good Morning,1959,94 min.,Yasujirô Ozu,Kuniko Miyak,Eiko Miyoshi,Comedy Drama
The Beyond,1981,87 min.,Lucio Fulci,Catriona MacColl,David Warbeck,Exploitation Film
The Outsiders,1983,91 min.,Francis Ford Coppola,C. Thomas Howell,Ralph Macchio,Based-on-20th-Century-Literature
Pinocchio,1940,88 min.,Hamilton Luske,Christian Rub,Dick Jones,Animated Musical
Body Double,1984,114 min.,Brian De Palma,Craig Wasson,Melanie Griffith,Erotic Thriller
Woodstock,1970,228 min.,Michael Wadleigh,Joan Baez,Joe Cocker,Concert Film
I Vitelloni,1953,107 min.,Federico Fellini,Leopoldo Trieste,Franco Interlenghi,Comedy Drama
Stardust Memories,1980,89 min.,Woody Allen,Woody Allen,Charlotte Rampling,Comedy Drama
Faces,1968,130 min.,John Cassavetes,Gena Rowlands,Seymour Cassel,Drama
Angel Heart,1987,113 min.,Alan Parker,Mickey Rourke,Robert De Niro,Based-on-20th-Century-Literature
Funny Face,1957,103 min.,Stanley Donen,Audrey Hepburn,Fred Astaire,Comedy
The Spy Who Loved Me,1977,125 min.,Lewis Gilbert,Roger Moore,Barbara Bach,Action Thriller
Ghost World,2001,111 min.,Terry Zwigoff,Thora Birch,Scarlett Johansson,Based-on-Comics
American Splendor,2003,101 min.,"Shari Springer Berman, Robert Pulcini",Paul Giamatti,Hope Davis,Based-on-a-True-Story
The Time Machine,1960,103 min.,George Pal,Alan Young,Yvette Mimieux,Adventure
Natural Born Killers,1994,122 min.,Oliver Stone,Woody Harrelson,Juliette Lewis,Crime Drama
Source Code,2011,93 min.,Duncan Jones,Jake Gyllenhaal,Michelle Monaghan,Action
Ace Ventura: Pet Detective,1994,86 min.,Tom Shadyac,Jim Carrey,Courteney Cox,Comedy
Remember the Titans,2000,120 min.,Boaz Yakin,Denzel Washington,Will Patton,Americana
"sex, lies, and videotape",1989,100 min.,Steven Soderbergh,James Spader,Peter Gallagher,Drama
Little Shop of Horrors,1986,94 min.,Frank Oz,Rick Moranis,Steve Martin,Based-on-Theatre
Westworld,1973,88 min.,Michael Crichton,Yul Brynner,Richard Benjamin,Action
Mulan,1998,88 min.,"Tony Bancroft, Barry Cook",Ming-Na Wen,Eddie Murphy,Adventure Drama
Never Let Me Go,2010,103 min.,Mark Romanek,Carey Mulligan,Andrew Garfield,Based-on-21st-Century-Literature
Frost/Nixon,2008,122 min.,Ron Howard,Frank Langella,Michael Sheen,Based-on-a-True-Story
Black Orpheus,1959,100 min.,Marcel Camus,Breno Mello,Marpessa Dawn,Drama
Wonder Woman,2017,141 min.,Patty Jenkins,Gal Gadot,Chris Pine,Action
The Wedding Singer,1998,95 min.,Frank Coraci,Drew Barrymore,Allen Covert,Comedy
Wet Hot American Summer,2001,97 min.,David Wain,Janeane Garofalo,David Hyde Pierce,Comedy
The Legend of Drunken Master,1994,99 min.,Chia-Liang Liu,Anita Mui,Felix Wong,Action Comedy
End of Watch,2012,109 min.,David Ayer,Jake Gyllenhaal,Michael Peña,Action
Santa Sangre,1989,123 min.,Alejandro Jodorowsky,Axel Jodorowsky,Blanca Guerra,Avant-garde / Experimental
The Host,2006,119 min.,Bong Joon Ho,Kang-ho Song,Hie-bong Byeon,Foreign Language Film
Something Wild,1986,113 min.,Jonathan Demme,Jeff Daniels,Melanie Griffith,Comedy Drama
A Bug's Life,1998,96 min.,John Lasseter,Julia Louis-Dreyfus,Dave Foley,Adventure
Conan the Barbarian,1982,129 min.,John Milius,Arnold Schwarzenegger,Mako,Action
The Commitments,1991,118 min.,Alan Parker,Robert Arkins,Angeline Ball,Drama
Ponyo,2008,100 min.,Hayao Miyazaki,Yuria Nara,Hiroki Doi,Adventure
Dogtooth,2009,94 min.,Yorgos Lanthimos,Christos Stergioglou,Michelle Valley,Drama
Harlan County U.S.A.,1976,103 min.,Barbara Kopple,John Corcoran,John O'Leary,Americana
Heaven Can Wait,1943,112 min.,Ernst Lubitsch,Don Ameche,Charles Coburn,Comedy Drama
"20,000 Leagues Under the Sea",1954,127 min.,Richard Fleischer,Kirk Douglas,James Mason,Adventure
Grindhouse,2007,191 min.,"Robert Rodriguez, Quentin Tarantino",Freddy Rodriguez,Jeff Fahey,Action Thriller
The Sons of Katie Elder,1965,122 min.,Henry Hathaway,John Wayne,Martha Hyer,Western
"What's Opera, Doc?",1957,7 min.,Chuck Jones,Mel Blanc,,Animation
Winter's Bone,2010,100 min.,Debra Granik,Kevin Breznahan,John Hawkes,Detective Film
Murder by Death,1976,94 min.,Robert Moore,Eileen Brennan,Truman Capote,Mystery
Four Lions,2010,99 min.,Christopher Morris,Riz Ahmed,Arsher Ali,Black Comedy
Mr. Nobody,2009,157 min.,Jaco van Dormael,Jared Leto,Sarah Polley,Coming-of-Age
Peter Pan,1953,74 min.,Clyde Geronimi,Bobby Driscoll,Kathryn Beaumont,Adventure
Watership Down,1978,101 min.,Martin Rosen,John Hurt,Richard Briers,Adventure Drama
Enter the Void,2009,136 min.,Gaspar Noé,Paz de la Huerta,Nathaniel Brown,Avant-garde / Experimental
Help!,1965,92 min.,Richard Lester,Patrick Cargill,The Beatles,Absurd Comedy
The Age of Innocence,1993,139 min.,Martin Scorsese,Daniel Day-Lewis,Michelle Pfeiffer,Based-on-20th-Century-Literature
Guys and Dolls,1955,150 min.,Joseph L. Mankiewicz,Vivian Blaine,Robert Keith,Based-on-Theatre
The Band Wagon,1953,111 min.,Vincente Minnelli,Fred Astaire,Cyd Charisse,Comedy
The Aviator,2004,170 min.,Martin Scorsese,Leonardo DiCaprio,Cate Blanchett,Based-on-20th-Century-Literature
The Man Who Fell to Earth,1976,139 min.,Nicolas Roeg,David Bowie,Candy Clark,Based-on-20th-Century-Literature
Birdman of Alcatraz,1962,147 min.,John Frankenheimer,Burt Lancaster,Karl Malden,Based-on-a-True-Story
Carol,2015,118 min.,Todd Haynes,Cate Blanchett,Rooney Mara,Based-on-20th-Century-Literature
Beginners,2010,105 min.,Mike Mills,Ewan McGregor,Christopher Plummer,Comedy Drama
Annihilation,2018,115 min.,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Adventure
I Am Legend,2007,101 min.,Francis Lawrence,Will Smith,Alice Braga,Based-on-20th-Century-Literature
Greed,1924,239 min.,Erich von Stroheim,ZaSu Pitts,Gibson Gowland,Drama
21 Jump Street,2012,109 min.,"Phil Lord, Christopher Miller",Jonah Hill,Channing Tatum,Action
Man on Wire,2008,94 min.,James Marsh,Philippe Petit,,Biography
Lethal Weapon 2,1989,114 min.,Richard Donner,Mel Gibson,Danny Glover,Action Comedy
Paradise Lost: The Child Murders at Robin Hood Hills,1996,150 min.,"Joe Berlinger, Bruce Sinofsky",Damien Wayne Echols,Jessie Miskelly,Biography
Submarine,2010,100 min.,Richard Ayoade,Craig Roberts,Yasmin Paige,Comedy Drama
Meshes of the Afternoon,1943,14 min.,"Maya Deren, Alexander Hammid",Maya Deren,Alexander Hammid,Avant-garde / Experimental
Bound,1996,109 min.,The Wachowskis,Jennifer Tilly,Gina Gershon,Crime Drama
Tommy Boy,1995,97 min.,Peter Segal,Chris Farley,David Spade,Buddy Film
"One, Two, Three",1961,115 min.,Billy Wilder,Horst Buchholz,Arlene Francis,Comedy of Manners
House of Wax,1953,90 min.,André De Toth,Vincent Price,Frank Lovejoy,Based-on-20th-Century-Literature
Unfaithfully Yours,1948,105 min.,Preston Sturges,Linda Darnell,Rex Harrison,Comedy
Only Lovers Left Alive,2013,123 min.,Jim Jarmusch,Tom Hiddleston,Tilda Swinton,Drama
The Piano Teacher,2001,131 min.,Michael Haneke,Isabelle Huppert,Susanne Lothar,Drama
Dangerous Liaisons,1988,119 min.,Stephen Frears,Michelle Pfeiffer,Swoosie Kurtz,Based-on-18th-Century-Literature
Volver,2006,121 min.,Pedro Almodóvar,Penélope Cruz,Carmen Maura,Comedy Drama
The Goodbye Girl,1977,111 min.,Herbert Ross,Richard Dreyfuss,Marsha Mason,Based-on-Theatre
Lost in America,1985,91 min.,Albert Brooks,Albert Brooks,Julie Hagerty,Comedy of Manners
Stage Door,1937,92 min.,Gregory La Cava,Katharine Hepburn,Ginger Rogers,Comedy Drama
Daisies,1966,74 min.,Vera Chytilová,Ivana Karbanová,Jitka Cerhová,Avant-garde / Experimental
Stranger Than Fiction,2006,113 min.,Marc Forster,Will Ferrell,Maggie Gyllenhaal,Comedy Drama
Hamlet,1948,155 min.,Laurence Olivier,Laurence Olivier,Basil Sydney,Based-on-Shakespeare
Lost Horizon,1937,132 min.,Frank Capra,Ronald Colman,Jane Wyatt,Adventure
The Italian Job,1969,99 min.,Peter Collinson,Michael Caine,Noël Coward,Action Comedy
The Petrified Forest,1936,82 min.,Archie Mayo,Humphrey Bogart,Bette Davis,Crime Drama
Southern Comfort,1981,106 min.,Walter Hill,Keith Carradine,Powers Boothe,Action Thriller
Logan's Run,1976,119 min.,Michael Anderson,Michael York,Richard Jordan,Action
Dallas Buyers Club,2013,117 min.,Jean-Marc Vallée,Matthew McConaughey,Jared Leto,Based-on-a-True-Story
Willow,1988,126 min.,Ron Howard,Val Kilmer,Joanne Whalley,Action
Star Trek VI: The Undiscovered Country,1991,109 min.,Nicholas Meyer,William Shatner,Kim Cattrall,Action
The Wind,1928,95 min.,Victor Sjöström,Lillian Gish,Lars Hanson,Drama
Live and Let Die,1973,121 min.,Guy Hamilton,Roger Moore,Yaphet Kotto,Action Thriller
War for the Planet of the Apes,2017,142 min.,Matt Reeves,Andy Serkis,Woody Harrelson,Action
Last Tango in Paris,1972,127 min.,Bernardo Bertolucci,Marlon Brando,Catherine Breillat,Drama
Blue Ruin,2013,92 min.,Jeremy Saulnier,Macon Blair,Devin Ratray,Crime
Only Yesterday,1991,118 min.,Isao Takahata,Miki Imai,Toshiro Yanagiba,Animation
Bigger Than Life,1956,95 min.,NIcholas Ray,James Mason,Barbara Rush,Drama
A Single Man,2009,99 min.,Tom Ford,Nicholas Hoult,Matthew Goode,Drama
Moonstruck,1987,102 min.,Norman Jewison,Cher,Nicolas Cage,Comedy
Pygmalion,1938,89 min.,"Anthony Asquith, Leslie Howard",Leslie Howard,Wendy Hiller,Based-on-Theatre
Henry: Portrait of a Serial Killer,1986,83 min.,John McNaughton,Michael Rooker,Tracy Arnold,Based-on-a-True-Story
The Suicide Squad,2021,132 min.,James Gunn,Margot Robbie,Idris Elba,Action
Silence,2016,159 min.,Martin Scorsese,Andrew Garfield,Adam Driver,Based-on-20th-Century-Literature
The Fallen Idol,1948,95 min.,Carol Reed,Ralph Richardson,Michèle Morgan,British Noir
Kung Fu Hustle,2004,95 min.,Stephen Chow,Stephen Chow,Yuen Wah,Action Comedy
Hellraiser,1987,94 min.,Clive Barker,Andrew Robinson,Clare Higgins,Based-on-20th-Century-Literature
Elmer Gantry,1960,146 min.,Richard Brooks,Burt Lancaster,Dean Jagger,Based-on-20th-Century-Literature
The Man from Laramie,1955,104 min.,Anthony Mann,James Stewart,Arthur Kennedy,Mystery
Calvary,2014,100 min.,John Michael McDonagh,Brendan Gleeson,Chris O'Dowd,Black Comedy
Design For Living,1933,91 min.,Ernst Lubitsch,Fredric March,Gary Cooper,Based-on-Theatre
The War of the Worlds,1953,85 min.,Byron Haskin,Gene Barry,Ann Robinson,Action Thriller
Happy Together,1997,96 min.,Wong Kar-Wai,Tony Leung Chiu Wai,Leslie Cheung,Drama
Avengers: Age of Ultron,2015,150 min.,Joss Whedon,Chris Evans,Robert Downey Jr.,Action
Michael Clayton,2007,119 min.,Tony Gilroy,George Clooney,Tom Wilkinson,Paranoid Thriller
¡Three Amigos!,1986,104 min.,John Landis,Steve Martin,Chevy Chase,Comedy
"Crazy, Stupid, Love.",2011,118 min.,"Glenn Ficarra, John Requa",Steve Carell,Ryan Gosling,Comedy Drama
It,2017,135 min.,Andy Muschietti,Bill Skarsgård,Jaeden Martell,Based-on-20th-Century-Literature
Rocco and His Brothers,1960,177 min.,Luchino Visconti,Katina Paxinou,Renato Salvatori,Crime
Eight Men Out,1988,119 min.,John Sayles,John Cusack,Clifton James,Americana
Dodgeball,2004,92 min.,Rawson Marshall Thurber,Vince Vaughn,Christine Taylor,Comedy
The Abominable Dr. Phibes,1971,94 min.,Robert Fuest,Vincent Price,Joseph Cotten,Black Comedy
Poor Things,2023,141 min.,Yorgos Lanthimos,Emma Stone,Mark Ruffalo,Adventure Drama
Soylent Green,1973,97 min.,Richard Fleischer,Charlton Heston,Leigh Taylor-Young,Based-on-20th-Century-Literature
Hugo,2011,126 min.,Martin Scorsese,Ben Kingsley,Sacha Baron Cohen,Adventure
Moulin Rouge,2001,127 min.,Baz Luhrmann,Nicole Kidman,Ewan McGregor,Costume Romance
Romancing the Stone,1984,106 min.,Robert Zemeckis,Michael Douglas,Kathleen Turner,Action
Burden of Dreams,1982,95 min.,"Les Blank, Maureen Gosling",Werner Herzog,Klaus Kinski,Biography
A Charlie Brown Christmas,1965,25 min.,Bill Melendez,Bill Melendez,Peter Robbins,Animation
Nostalghia,1983,125 min.,Andrei Tarkovsky,Oleg Yankovskiy,Erland Josephson,Drama
Bronson,2008,92 min.,Nicolas Winding Refn,Tom Hardy,Matt King,Based-on-a-True-Story
Sans Soleil,1983,100 min.,Chris Marker,Florence Delay,Arielle Dombasle,Avant-garde / Experimental
Joint Security Area,2000,110 min.,Chan-wook Park,Tae-woo Kim,Ha-kyun Shin,Anti-War Film
The Big Country,1958,165 min.,William Wyler,Gregory Peck,Jean Simmons,Drama
The Adventures of Baron Munchausen,1988,126 min.,Terry Gilliam,John Neville,Eric Idle,Action Comedy
Brokeback Mountain,2005,134 min.,Ang Lee,Heath Ledger,Jake Gyllenhaal,Based-on-20th-Century-Literature
Phantasm,1979,88 min.,Don Coscarelli,A. Michael Baldwin,Bill Thornbury,Horror
Irreversible,2002,97 min.,Gaspar Noé,Monica Bellucci,Albert Dupontel,Crime Drama
Brute Force,1947,98 min.,Jules Dassin,Burt Lancaster,Hume Cronyn,Crime Drama
The Big Parade,1925,141 min.,King Vidor,John Gilbert,Renée Adorée,Anti-War Film
